,name,address,category,rating
332,Osteria Babazuf,"Via di Pantaneto, 85",Pizza,4.5
333,Osteria Le Logge,Via del Porrione 33,Italian,4.0
336,L'orto de' pecci,Via di Porta Giustizia 39,Italian,5.0
337,Ravioli Wang,Viale Vittorio Emanuele II 38,Chinese,5.0
340,Il Vinaio,Via Camollia 167,Sandwiches,4.5
343,Ristorante Pizzeria I Gabellieri,Via V. Emanuele 75,Pizza,4.0
345,Osteria di Kamollia,Via di Camollia 114,Tuscan,4.0
348,L'oro di Siena,Via Garibaldi 61,Pizza,5.0
351,Osteria Il Grattacielo,Via Pontani 8,Italian,4.0
352,Ristorante Da Enzo,Via Camollia 49,Italian,4.5
354,Buti pasticceria,"Viale Vittorio Emanuele II, 53",Chocolatiers & Shops,5.0
356,Cafe Berta,Piazza Guido Chigi Saracini,Cafes,4.5
358,Ristorante Minohana,Viale Vittorio Emanuele II 32,Tuscan,1.0
360,Havana Club,Piazza Maestri del Lavoro 27,Cuban,5.0
361,Donna Ripalta,Viale Pietro Toselli 41,Tuscan,4.0
362,Albergo Certosa di Maggiano,"Str. di Certosa, 82",Hotels & Travel,5.0
363,Fontebecci,Via Fiorentina 133,Pizza,2.0
367,Mc Donald's,Via Fiorentina 124,Fast Food,2.0
371,la veranda,Piazza Calabria,Italian,4.5
376,Antica Trattoria Botteganova,Strada Chiantigiana 29,Italian,5.0
378,Dream Cafe',"Str. Statale 222 Chiantigiana, 13",Bars,4.0
381,Skile' Music Bar,Piazza Calabria 18,Cafes,3.0
386,Dopolavoro La Foce,Strada della Vittorio 90,Italian,5.0
389,Hotel Garden,Via Custoza 2,Venues & Event Spaces,3.0
391,Sushiko,Piazzale Carlo Rosselli 25,Sushi Bars,4.0
392,Susy Sushi,Piazza Rosselli,Japanese,4.0
393,La Grotta di San Francesco,Via Camollia 25,Seafood,5.0
394,Mozzarella e Basilico,Piazzale Rosselli 25,Trattorie,1.0
395,Tia Loca,Via Bettino Ricasoli 55,Pizza,2.5
396,Pasta Mondo,Via Camollia 173,Pizza,5.0
397,Corsini,Via Armando Diaz 4,Desserts,3.5
398,La Mandorla,Via Camollia 36,Desserts,5.0
399,Cartazucchero,Via Camollia 92,Used Bookstore,5.0
400,Mugolone,Via dei Pellegrini 8,Italian,5.0
402,Da Michele,Strada Massetana 64,Tuscan,5.0
403,Da Michele,Strada Massetana 64,Tuscan,3.0
404,Sotto le Fonti,Via Esterna di Fontebranda 114,Pizza,4.5
405,Biovita,Via Massetana Romana 54,Cafeteria,5.0
406,BAR Il Barrino,"Str. Massetana Romana, 5",Bars,5.0
407,BAR dei Mantellini di Melani Fabiola,"Via Piano dei Mantellini, 22",Bars,5.0
408,Nannini,Via Banchi di Sopra 24,Cafeteria,2.0
409,Fontebranda,Via di Fontebranda 73,Landmarks & Historical Buildings,4.0
410,Antica Salumeria Salvini Ciofi Soccol e Zanolli,"Str. Statale 73 Ponente, 46",,3.0
411,Il Tocco,Via Cassia Sud 122,Pizza,4.0
412,Bar Cecco,Viale Camillo Benso Conte Di Cavour,Cafes,3.0
